Primary key,Date,Intention,Standard Question,Standard answer
208,30 Minutes ago,Be kind,Aperiam reiciendis neque eveniet unde,"
rs  edmi"
690,13 Days ago,See the goodness around me,dolor sit amet consectetur,"actaicm,t
"
224,2 Hours ago,Be kind,"Labore, quae iste"," mu edaam"
654,13 Days ago,Be kind,"adipisicing elit. Nam, dolorem hic?","nt
msc ie"
348,13 Days ago,Forgive others and myself,Magni inventore ea illum nobis amet,pnecrlen
729,13 Days ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?","v tul o
id"
544,5 Days ago,Lead by example,veritatis earum blanditiis maiores fugiat,emeiel
826,30 Minutes ago,Lead by example,veniam atque officiis consequuntur pariatur?," agrqpi areei"
217,4 Days ago,Be kind,Aperiam reiciendis neque eveniet unde,eiiomsdru
453,30 Minutes ago,See the goodness around me,"accusantium excepturi minus, officia et reprehenderit","eunii
 pea"
395,2 Hours ago,Be kind,esse praesentium,iaeln pinde ti nc
626,1 Hour ago,See the goodness around me,"consectetur adipisicing elit. Unde, autem",fp aouno eod
591,2 Minutes ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,"i
ueeelmsasu e"
609,2 Hours ago,Make someone smile every day,Saepe ab illum perferendis.,"osnc
eneo
"
651,30 Minutes ago,Be kind,Aperiam reiciendis neque eveniet unde,gNimntSyitmi
186,4 Days ago,Make someone smile every day,"accusantium excepturi minus, officia et reprehenderit","Lt
npei
ss eiiasrr"
782,1 Hour ago,See the goodness around me,Lorem ipsum dolor sit amet,iairuta
326,30 Minutes ago,See the goodness around me,Lorem ipsum," nienrl"
528,2 Minutes ago,Lead by example,Magni inventore ea illum nobis amet,oeeeusp enrsnrg
911,4 Days ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?," cat ereei  ep"
599,2 Hours ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit"," 
smnir"
735,4 Days ago,Forgive others and myself,Lorem ipsum dolor sit amet,"i cm li  "
786,4 Days ago,See the goodness around me,Saepe ab illum perferendis.," e
rmde
sp iiind"
843,2 Minutes ago,See the goodness around me,"adipisicing elit. Nam, dolorem hic?","  sneu"
401,10 Days ago,Make mindfulnes,Aperiam reiciendis neque eveniet unde,niiteipoece
851,10 Days ago,Manifest happiness naturally,"Labore, quae iste","

tlp,"
910,4 Days ago,Love unconditionally,Magni inventore ea illum nobis amet,t plnrc
464,10 Days ago,Lead by example,"consectetur adipisicing elit. Unde, autem","inoeutsd
e"
941,,Forgive others and myself,veniam atque officiis consequuntur pariatur?,"lmliqeiir
lj"
942,5 Days ago,See the goodness around me,dolor sit amet consectetur,"mmueeu  i,"
937,1 Hour ago,Love unconditionally,Lorem ipsum dolor sit amet,eilisaiu
791,2 Hours ago,Make mindfulnes,veniam atque officiis consequuntur pariatur?," 
Sl an uaoae ir"
884,2 Minutes ago,Manifest happiness naturally,Lorem ipsum," ctnurn
auds"
245,30 Minutes ago,Manifest happiness naturally,"Labore, quae iste",iru ieeixcnnespite
119,1 Hour ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",Upealhsplr
769,2 Minutes ago,Live this moment,Magni inventore ea illum nobis amet,leauirneb
726,5 Days ago,Manifest happiness naturally,Magni inventore ea illum nobis amet,"ee
eHinavpoim"
656,2 Hours ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?","eauceemtci a 
u"
836,,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit",crmta.
627,13 Days ago,See the goodness around me,"adipisicing elit. Nam, dolorem hic?","uae
esso  ten"
904,,See the goodness around me,veritatis earum blanditiis maiores fugiat,iattse.
701,,Make someone smile every day,veritatis earum blanditiis maiores fugiat,"m,ni.q"
225,1 Hour ago,Lead by example,"consectetur adipisicing elit. Unde, autem",rts ooec
704,4 Days ago,Make someone smile every day,"Labore, quae iste",relne.actileayn.om
465,13 Days ago,Live this moment,Magni inventore ea illum nobis amet,"xtn pmleei
idNv"
307,30 Minutes ago,See the goodness around me,Lorem ipsum dolor sit amet,lo rnss
482,8 Minutes ago,Manifest happiness naturally,Lorem ipsum,"use
is n.rUia ite"
634,5 Days ago,Live this moment,Aperiam reiciendis neque eveniet unde,"dfriisgt i "
765,2 Hours ago,Lead by example,dolor sit amet consectetur,"esi.eat
ep e ts.i "
108,2 Hours ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,"sueeiiu eree "
980,2 Minutes ago,Be kind,"adipisicing elit. Nam, dolorem hic?","re ret
ee"
426,4 Days ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde," elaiailei sciadbu"
512,5 Days ago,Forgive others and myself,"Labore, quae iste","a
hlsieo"
980,4 Days ago,Make mindfulnes,Magni inventore ea illum nobis amet,". obemnr 
eesqe"
264,10 Days ago,Forgive others and myself,"Labore, quae iste","dnri.reulutm
l"
976,10 Days ago,Manifest happiness naturally,dolorum omnis odit.,"ra 
ecicaosa"
107,13 Days ago,See the goodness around me,Lorem ipsum dolor sit amet,o cmUtideb
860,2 Hours ago,Love unconditionally,esse praesentium,ipncsm
651,,Lead by example,Lorem ipsum dolor sit amet,"ttn
sccdtL"
529,4 Days ago,Love unconditionally,Lorem ipsum,"re
otatoo,lrandr"
189,1 Hour ago,Lead by example,veritatis earum blanditiis maiores fugiat,"reo dlnisns,"
683,8 Minutes ago,See the goodness around me,"Labore, quae iste","to tmr unt taenm
"
362,13 Days ago,Lead by example,Aperiam reiciendis neque eveniet unde," Litsosilniaa
q"
919,10 Days ago,Lead by example,"consectetur adipisicing elit. Unde, autem"," 
ceele burvyd"
664,4 Days ago,Make someone smile every day,"adipisicing elit. Nam, dolorem hic?","e ei v e  "
226,30 Minutes ago,Lead by example,Lorem ipsum,rm eace
833,2 Minutes ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,"etfoh
rebrnppjmS"
173,2 Minutes ago,Manifest happiness naturally,"Labore, quae iste",ssiseiyr
753,2 Hours ago,Manifest happiness naturally,esse praesentium,etrepmipLntie
237,2 Minutes ago,See the goodness around me,"consectetur adipisicing elit. Unde, autem","eddn mi
d"
384,1 Hour ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit","rdmchcsui,emtra p "
755,8 Minutes ago,Lead by example,dolor sit amet consectetur,"e rrtletutaedr m "
424,2 Hours ago,Make someone smile every day,Magni inventore ea illum nobis amet,"  adi tmp
de"
181,13 Days ago,Make mindfulnes,dolor sit amet consectetur," igsd mneset"
750,13 Days ago,Manifest happiness naturally,Lorem ipsum,"srry shtorofuapbm "
749,5 Days ago,Lead by example,Magni inventore ea illum nobis amet,"e et
cl eeftmerpie"
137,5 Days ago,Live this moment,veritatis earum blanditiis maiores fugiat,"
pgac "
771,2 Minutes ago,Manifest happiness naturally,Lorem ipsum dolor sit amet," e  gmnte bni"
799,2 Minutes ago,See the goodness around me,Lorem ipsum,idijtlratnuh
688,2 Minutes ago,Live this moment,Lorem ipsum,onice msptc
295,2 Hours ago,Lead by example,"accusantium excepturi minus, officia et reprehenderit","se
uaei tlttectf "
523,1 Hour ago,Be kind,"Labore, quae iste",iur prsc teroi
846,30 Minutes ago,Forgive others and myself,"consectetur adipisicing elit. Unde, autem",dari dpe
182,1 Hour ago,Love unconditionally,"Labore, quae iste",lb .aau
659,4 Days ago,Lead by example,"Labore, quae iste","  prpdieuil"
339,5 Days ago,See the goodness around me,Lorem ipsum,"td.,lalau
teip"
408,2 Minutes ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,ou cquarip
642,13 Days ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,"ioheaumsiolr
 r"
182,4 Days ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit","sp
lrv dp nt s n "
931,5 Days ago,See the goodness around me,dolorum omnis odit.,"idlismiinsaerc n  "
584,2 Minutes ago,Make mindfulnes,Magni inventore ea illum nobis amet,"eim ept e i
er N
"
337,13 Days ago,Love unconditionally,Magni inventore ea illum nobis amet,rinetutnte hdcb
281,5 Days ago,Be kind,"adipisicing elit. Nam, dolorem hic?",drmmteileisa
904,,Love unconditionally,"Labore, quae iste","uuopouonayiai
aml"
439,13 Days ago,Make someone smile every day,"adipisicing elit. Nam, dolorem hic?",nsfl.emddicpitiu
751,30 Minutes ago,Be kind,Lorem ipsum dolor sit amet,etesolsaoeiecaudu
535,2 Minutes ago,Forgive others and myself,esse praesentium,moiimtioaeiiip mt
494,1 Hour ago,See the goodness around me,"accusantium excepturi minus, officia et reprehenderit","smtrirhiieai "
108,10 Days ago,Be kind,esse praesentium,mrems iiuslieme
112,13 Days ago,Make mindfulnes,dolor sit amet consectetur,e e lLtvpnseimliol
204,1 Hour ago,Make mindfulnes,Lorem ipsum,cr niiirdt
803,10 Days ago,Love unconditionally,dolorum omnis odit.,"htaecmoee  
 rm"
320,,Make mindfulnes,dolorum omnis odit.,iLl glnm
470,10 Days ago,Forgive others and myself,dolorum omnis odit.,"eosa nosmnee
ads"
626,10 Days ago,Live this moment,veniam atque officiis consequuntur pariatur?,daaeutlcLsjifi
443,13 Days ago,Live this moment,Lorem ipsum dolor sit amet,"msiuormmmou o .dt
"
747,5 Days ago,See the goodness around me,Lorem ipsum,s.p tsb aiiem
211,1 Hour ago,Forgive others and myself,dolorum omnis odit.,ti v nmnue a.ua
409,,Live this moment,Lorem ipsum dolor sit amet," di mtlatulu"
131,10 Days ago,Live this moment,Lorem ipsum,"rcpreicsmetaid se "
427,30 Minutes ago,Live this moment,Aperiam reiciendis neque eveniet unde,"et ni,aqd"
676,8 Minutes ago,Make someone smile every day,"Labore, quae iste","gie aotathet sues "
734,30 Minutes ago,Be kind,"consectetur adipisicing elit. Unde, autem",eiaeroi te
906,13 Days ago,Live this moment,esse praesentium," in   cfieLiuermd
"
962,10 Days ago,Lead by example,veniam atque officiis consequuntur pariatur?,usrnsirloaearidr
332,4 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,"usp 
ds"
404,1 Hour ago,Make mindfulnes,"adipisicing elit. Nam, dolorem hic?","icniaeimiet "
831,,Love unconditionally,Saepe ab illum perferendis.,snaraeitpve
478,1 Hour ago,Manifest happiness naturally,Saepe ab illum perferendis.,beesauvirin
