id,date,intention,standard_question,standard_answer
1,10 Days ago,Manifest,Lorem ipsum dolor sit amet,pe ab illum reiciendis neque eveniet unde
2,13 Days ago,Be kind,veniam atque officiis consequuntur pariatur?,pe ab illum esse praesentium
3,13 Days ago,Make someone smile every day,accusantium excepturi minus officia et reprehenderit,accusantium excepturi minus officia et reprehenderit
4,1 Hour ago,Make mindfulnes,Magni inventore ea illum nobis amet,accusantium excepturi minus officia et reprehenderit
5,2 Minutes ago,Make someone smile every day,adipisicing elit. Nam dolorem hic?,illum dolorum omnis odit
6,10 Days ago,Live this moment,veniam atque officiis consequuntur pariatur?,adipisicing elit Nam
7,8 Minutes ago,Make mindfulnes,Aperiam reiciendis neque eveniet unde,inventore ea illum nobis amet
8,2 Minutes ago,Make mindfulnes,Saepe ab illum perferendis.,inventore ea illum nobis amet
9,2 Hours ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,pe ab illum dolor sit amet consectetur
10,5 Days ago,Lead by example,Magni inventore ea illum nobis amet,Saepe ab illum perferendis
11,2 Hours ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,inventore ea illum nobis amet
12,2 Minutes ago,Be kind,adipisicing elit. Nam dolorem hic?,accusantium excepturi minus officia et reprehenderit
13,10 Days ago,Manifest,accusantium excepturi minus officia et reprehenderit,adipisicing elit Nam
14,10 Days ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,adipisicing elit Nam
15,5 Days ago,Forgive others and myself,accusantium excepturi minus officia et reprehenderit,illum dolorum omnis odit
16,1 Hour ago,Manifest,dolor sit amet consectetur,esse praesentium
17,30 Minutes ago,Happiness naturally,dolor sit amet consectetur,yabk labore quae iste
18,4 Days ago,Manifest,Lorem ipsum dolor sit amet,pe ab illum Saepe ab illum perferendis
